bookchapter,out_degree,betweenness,eigen
"siriwardena,  chapter-1",0.04066750842519482,0.15838598023228218,0.15838598023228218
"tudose,  welcome",0.005086370928117864,0.048212522198348935,0.048212522198348935
"nickoloff2,  chapter-1",0.0011226468480303399,0.006976038208798066,0.006976038208798066
"scott4,  welcome",0.0036551164963850064,0.029843685767351132,0.029843685767351132
"yuen,  welcome",0.00832648481398371,0.019328073620296635,0.019328073620296635
"rioux,  welcome",0.0006855746724914969,0.005162574667707942,0.005162574667707942
"kochmar,  welcome",0.0006799744338195061,0.00137894302796672,0.00137894302796672
"kochmar,  chapter-2",0.010666984663294618,0.035334513301314936,0.035334513301314936
"fain2,  chapter-1",0.004526041072753175,0.005851569439532919,0.005851569439532919
"riscutia,  welcome",0.01633389853786467,0.0160584144166678,0.0160584144166678
"osherove4,  welcome",0.00813000244551838,0.001974837710255908,0.001974837710255908
"osherove2,  about-this-book",0.0022380712898541497,0.0005274207552188429,0.0005274207552188429
"lauret,  about-this-book",0.02976833206914405,0.11439508624887694,0.11439508624887694
"lauret,  about-the-author",0.000486711651856581,0.03055137363034954,0.03055137363034954
"lauret,  part-1",0.00048111141318459103,0.011132373718263033,0.011132373718263033
"lauret,  chapter-1",0.0320760256697409,0.21764659533219696,0.21764659533219696
"palmer,  about-this-book",0.0,0.05812638008228512,0.05812638008228512
"atencio3,  chapter-2",0.006140067858335498,0.04417957254764113,0.04417957254764113
"atencio3,  chapter-1",0.0028873416401899,0.025644700673630158,0.025644700673630158
"atencio3,  chapter-5",0.0006570983073654388,0.00684912997401291,0.00684912997401291
"atencio3,  chapter-6",0.0,0.016098254553702892,0.016098254553702892
"mcnamara,  welcome",0.013982614735564948,0.0342947328168145,0.0342947328168145
"mcnamara,  chapter-1",0.003912383395184204,0.012496288377362998,0.012496288377362998
"mcnamara,  chapter-6",0.00088340674009816,0.004553349259482013,0.004553349259482013
"williams4,  chapter-1",0.02560079768159569,0.12034770285148629,0.12034770285148629
"mcnamara,  chapter-2",0.0,0.04385590410487133,0.04385590410487133
"mcnamara,  chapter-8",0.0,0.009158970105619854,0.009158970105619854
